component,field,target_class,ngh_class,source_asset,source_path,target_path,source_sha256,target_sha256_before,status_before,status_after,target_sha256_after
HabboCatalogCom,manifest,HabboCatalogCom_manifest,class_276,468_class_276.bin,C:\habbo\client\habbo-client-ngh\binaryData\468_class_276.bin,C:\habbo\client\habbo-client-clean\src\binaryData\HabboCatalogCom_manifest.bin,60c579e4994787bb8638cc90e7475f66de321fc4f7bdd5f790d5eb07eecfd77c,bd229759298ca08b1a4f9d07f8ca7ecae8bb4eb794df81a812f46e6ca2eafccf,different,copied,60c579e4994787bb8638cc90e7475f66de321fc4f7bdd5f790d5eb07eecfd77c
HabboCatalogCom,bot_thumb_bg,HabboCatalogCom_bot_thumb_bg,class_248,2381_class_248.png,C:\habbo\client\habbo-client-ngh\images\2381_class_248.png,C:\habbo\client\habbo-client-clean\src\images\HabboCatalogCom_bot_thumb_bg.png,ce1cc4de85548375be1704b158eaa69f8e1775e8c54d0b70835bf93eee83709a,59ded0dcffb404e5e032d04312850e3a3424ba32c5bff237a16dd714577ed595,different,copied,ce1cc4de85548375be1704b158eaa69f8e1775e8c54d0b70835bf93eee83709a
HabboCatalogCom,bot_thumb_bg_selected,HabboCatalogCom_bot_thumb_bg_selected,class_369,410_class_369.png,C:\habbo\client\habbo-client-ngh\images\410_class_369.png,C:\habbo\client\habbo-client-clean\src\images\HabboCatalogCom_bot_thumb_bg_selected.png,4a998f294b2dd7b69c308a222c79d5dc7d93b4878f84ea869c402dbcdc7d4250,8264f4408e8e20733d0d6d327c314cbed59a7adb95e07c9881b412b624f22e4c,different,copied,4a998f294b2dd7b69c308a222c79d5dc7d93b4878f84ea869c402dbcdc7d4250
HabboCatalogCom,ctlg_clr_27x22_1,HabboCatalogCom_ctlg_clr_27x22_1,HabboCatalogCom_ctlg_clr_27x22_1,1508.png,C:\habbo\client\habbo-client-ngh\images\1508.png,C:\habbo\client\habbo-client-clean\src\images\HabboCatalogCom_ctlg_clr_27x22_1.png,b989cb7556cd631bfaa0b03f7ba62bb9e9540427c4e3698e94bcc9212c3af6dc,2621ce87ce08e62a515092708bf8b19434ee566c333f9f25aae55982d233784b,different,copied,b989cb7556cd631bfaa0b03f7ba62bb9e9540427c4e3698e94bcc9212c3af6dc
HabboCatalogCom,ctlg_clr_27x22_2,HabboCatalogCom_ctlg_clr_27x22_2,HabboCatalogCom_ctlg_clr_27x22_2,860.png,C:\habbo\client\habbo-client-ngh\images\860.png,C:\habbo\client\habbo-client-clean\src\images\HabboCatalogCom_ctlg_clr_27x22_2.png,45c03eaf3c95aa73d3d09e4bd7eb7c87d9f3206b146c3687a75c3686d6edf4bb,7c45ccedcac5490d8f903aed43aa23ff9f1132d8401d9da4593abfcd540e5c69,different,copied,45c03eaf3c95aa73d3d09e4bd7eb7c87d9f3206b146c3687a75c3686d6edf4bb
HabboCatalogCom,ctlg_clr_27x22_3,HabboCatalogCom_ctlg_clr_27x22_3,HabboCatalogCom_ctlg_clr_27x22_3,1560.png,C:\habbo\client\habbo-client-ngh\images\1560.png,C:\habbo\client\habbo-client-clean\src\images\HabboCatalogCom_ctlg_clr_27x22_3.png,14d0e3a1c6bd06d464b4af4f3fdd2f0cfec0bb3044fb32b55bc48f09d4d1ae37,97e8380d61980e28ed2a633dc071f2b96a549494b833552069f5cf9cd52d17e5,different,copied,14d0e3a1c6bd06d464b4af4f3fdd2f0cfec0bb3044fb32b55bc48f09d4d1ae37
HabboCatalogCom,ctlg_clr_40x32_1,HabboCatalogCom_ctlg_clr_40x32_1,HabboCatalogCom_ctlg_clr_40x32_1,1995_HabboCatalogCom_ctlg_clr_40x32_1.png,C:\habbo\client\habbo-client-ngh\images\1995_HabboCatalogCom_ctlg_clr_40x32_1.png,C:\habbo\client\habbo-client-clean\src\images\HabboCatalogCom_ctlg_clr_40x32_1.png,ace419d0a201ba9c5cea0dd644d0994c28214639de6d75ae07a4bb554fb49469,c54686c70ba7a28519af4c70cfe5f12ba9e03c79b01062917747396aebee8df3,different,copied,ace419d0a201ba9c5cea0dd644d0994c28214639de6d75ae07a4bb554fb49469
HabboCatalogCom,ctlg_clr_40x32_2,HabboCatalogCom_ctlg_clr_40x32_2,HabboCatalogCom_ctlg_clr_40x32_2,1996_HabboCatalogCom_ctlg_clr_40x32_2.png,C:\habbo\client\habbo-client-ngh\images\1996_HabboCatalogCom_ctlg_clr_40x32_2.png,C:\habbo\client\habbo-client-clean\src\images\HabboCatalogCom_ctlg_clr_40x32_2.png,282540de82f9441cd6ce38f58a79c15cabf13d8a0ad05127d395adb0af320b81,88987669c95a8ea4e18865626c0de4a17a23376757bfb9ecedfa2ab9ece53a1e,different,copied,282540de82f9441cd6ce38f58a79c15cabf13d8a0ad05127d395adb0af320b81
HabboCatalogCom,ctlg_clr_40x32_3,HabboCatalogCom_ctlg_clr_40x32_3,HabboCatalogCom_ctlg_clr_40x32_3,1998_HabboCatalogCom_ctlg_clr_40x32_3.png,C:\habbo\client\habbo-client-ngh\images\1998_HabboCatalogCom_ctlg_clr_40x32_3.png,C:\habbo\client\habbo-client-clean\src\images\HabboCatalogCom_ctlg_clr_40x32_3.png,041214dc56667c12ec31c73c22046260f16c2002e62a4fd8a527f4e05634fdab,ac5ab332fff86d58533db6817cd3823885a33cfe1a0fa5010555dbced783f5af,different,copied,041214dc56667c12ec31c73c22046260f16c2002e62a4fd8a527f4e05634fdab
HabboCatalogCom,ctlg_arrow_down,HabboCatalogCom_ctlg_arrow_down,class_317,1717_class_317.png,C:\habbo\client\habbo-client-ngh\images\1717_class_317.png,C:\habbo\client\habbo-client-clean\src\images\HabboCatalogCom_ctlg_arrow_down.png,bf3617834d0a8c6d4aa47b38c989b93ba1f845183d003c0c7471f7a8cb36ef2b,3c8e562630da980945055f1e9860ecd18ab085829ced1e71047f55ad83fee009,different,copied,bf3617834d0a8c6d4aa47b38c989b93ba1f845183d003c0c7471f7a8cb36ef2b
HabboCatalogCom,ctlg_arrow_next,HabboCatalogCom_ctlg_arrow_next,class_268,2036_class_268.png,C:\habbo\client\habbo-client-ngh\images\2036_class_268.png,C:\habbo\client\habbo-client-clean\src\images\HabboCatalogCom_ctlg_arrow_next.png,9308c962862a73bbba7465e7ebd60f96f38bd4d5d10de9eedef2bb3f5e83db1f,129ad99735863633ca289de6ee7aa09e2c55059b77b9606d7c7510734d388a76,different,copied,9308c962862a73bbba7465e7ebd60f96f38bd4d5d10de9eedef2bb3f5e83db1f
HabboCatalogCom,ctlg_arrow_prev,HabboCatalogCom_ctlg_arrow_prev,class_241,437_class_241.png,C:\habbo\client\habbo-client-ngh\images\437_class_241.png,C:\habbo\client\habbo-client-clean\src\images\HabboCatalogCom_ctlg_arrow_prev.png,161854bc40b4a376c6249b16048e2eefdffa37da829d4947773afb9f42184bc7,0d6e1bdde604fe23ae6ef51cc610f09a0c3fbf91ac7a6e6c561c2c36879899d0,different,copied,161854bc40b4a376c6249b16048e2eefdffa37da829d4947773afb9f42184bc7
HabboCatalogCom,ctlg_arrow_right,HabboCatalogCom_ctlg_arrow_right,class_370,2110_class_370.png,C:\habbo\client\habbo-client-ngh\images\2110_class_370.png,C:\habbo\client\habbo-client-clean\src\images\HabboCatalogCom_ctlg_arrow_right.png,b59ebd90d50cc190556bde45f2a3f972ab235032ae28025b980c829a537e6b50,dd395ade89a32f618289ac812d4c45d93b068471a4629871bbcf68c2111e3f9d,different,copied,b59ebd90d50cc190556bde45f2a3f972ab235032ae28025b980c829a537e6b50
HabboCatalogCom,ctlg_dyndeal_background,HabboCatalogCom_ctlg_dyndeal_background,class_264,774_class_264.png,C:\habbo\client\habbo-client-ngh\images\774_class_264.png,C:\habbo\client\habbo-client-clean\src\images\HabboCatalogCom_ctlg_dyndeal_background.png,9f7fc906914d52b6485836cdcbdbd27961425a9733c2d230d032c7d157401f59,253d7a15bdc833c43650b0d3237f931c52ff629773043c096cc66dd69b27dbe6,different,copied,9f7fc906914d52b6485836cdcbdbd27961425a9733c2d230d032c7d157401f59
HabboCatalogCom,ctlg_icon_deal_hc,HabboCatalogCom_ctlg_icon_deal_hc,class_386,421_class_386.png,C:\habbo\client\habbo-client-ngh\images\421_class_386.png,C:\habbo\client\habbo-client-clean\src\images\HabboCatalogCom_ctlg_icon_deal_hc.png,110122bd8bbeb62a6fbe1bf4aad9d7a47d1facdc018c26781b27a53b8eb25e86,7a28c1fc4cebeac984c78f39e9585a1ea0ae83f3aeb98a26f22e0e7d96f9070c,different,copied,110122bd8bbeb62a6fbe1bf4aad9d7a47d1facdc018c26781b27a53b8eb25e86
HabboCatalogCom,ctlg_pic_deal_icon_narrow,HabboCatalogCom_ctlg_pic_deal_icon_narrow,class_300,324_class_300.png,C:\habbo\client\habbo-client-ngh\images\324_class_300.png,C:\habbo\client\habbo-client-clean\src\images\HabboCatalogCom_ctlg_pic_deal_icon_narrow.png,92d4b39740c127819294bfeaf58e2997069fa032428cd7ff7f30548eb0a1f2fd,eff01da73259bc4f8c8080288ecb5aaf22ff4989b03d5ba075c14bef56c123ad,different,copied,92d4b39740c127819294bfeaf58e2997069fa032428cd7ff7f30548eb0a1f2fd
HabboCatalogCom,events_confirm_purchase,HabboCatalogCom_events_confirm_purchase,class_237,2378_class_237.png,C:\habbo\client\habbo-client-ngh\images\2378_class_237.png,C:\habbo\client\habbo-client-clean\src\images\HabboCatalogCom_events_confirm_purchase.png,1eafb7c8e909478815fd8e8080a6a3f9376da974615c2a57624fc3d9c3365d5d,6c8be12d4ca1e7eb21704469d5ef781376e0b843946946a11efabf9e94df710f,different,copied,1eafb7c8e909478815fd8e8080a6a3f9376da974615c2a57624fc3d9c3365d5d
HabboCatalogCom,ctlg_recycler_slot_bg,HabboCatalogCom_ctlg_recycler_slot_bg,class_246,615_class_246.png,C:\habbo\client\habbo-client-ngh\images\615_class_246.png,C:\habbo\client\habbo-client-clean\src\images\HabboCatalogCom_ctlg_recycler_slot_bg.png,3b976462844b400b8d87d7e73a99b3b2cb5a036e09e74e0bf4d50c5bae51bce7,f3b74d861e0f332d2c46c50a0ca585aa1ea92652054b84077ac55ebc5c586c85,different,copied,3b976462844b400b8d87d7e73a99b3b2cb5a036e09e74e0bf4d50c5bae51bce7
HabboCatalogCom,purse_club_small,HabboCatalogCom_purse_club_small,class_347,384_class_347.png,C:\habbo\client\habbo-client-ngh\images\384_class_347.png,C:\habbo\client\habbo-client-clean\src\images\HabboCatalogCom_purse_club_small.png,0eb40ee4deca32562ce067782d6b5aa94853e582fc947f771143c9ecaa53a588,3aee44bd6a2ed4740e171dce1f5cf859d09e7b1d486b756bab8b99887057a02c,different,copied,0eb40ee4deca32562ce067782d6b5aa94853e582fc947f771143c9ecaa53a588
HabboCatalogCom,purse_coins_small,HabboCatalogCom_purse_coins_small,class_271,782_class_271.png,C:\habbo\client\habbo-client-ngh\images\782_class_271.png,C:\habbo\client\habbo-client-clean\src\images\HabboCatalogCom_purse_coins_small.png,9f71d36e25c119a69c8029b84e2819040aa9872a8028b03209e0c0dc530a09a4,fbab8ccfc9eccb0801b94ed318f14a1616f870815a5c869b20b5914e26cbb67d,different,copied,9f71d36e25c119a69c8029b84e2819040aa9872a8028b03209e0c0dc530a09a4
HabboCatalogCom,purse_pixels_small,HabboCatalogCom_purse_pixels_small,class_326,543_class_326.png,C:\habbo\client\habbo-client-ngh\images\543_class_326.png,C:\habbo\client\habbo-client-clean\src\images\HabboCatalogCom_purse_pixels_small.png,6dcce2394b14671ee5d25686f790a5a15ee00c02b9e611341c0bedf58ea18d58,18803d48f0bb01becbb0b38dfc212d2a8528db9b0e69dec26622af871ec87bed,different,copied,6dcce2394b14671ee5d25686f790a5a15ee00c02b9e611341c0bedf58ea18d58
